Id,Fecha,Anio,Mes,Día,Rol,Victima,Sexo,Edad,Gravedad,Rango_Etario,Sentencia,Cantidad_Víctimas,Hora,Parte_Horaria,Lugar_del_Hecho,Tipo_de_Calle,Calle,Cruce,Dirección_Normalizada,Comuna,Pos X,Pos Y,Participantes,Víctima,Acusado
2016-0001,2016-01-01,2016,1,1,CONDUCTOR,MOTO,MASCULINO,19,FATAL,ADULTO JOVEN,HOMOCIDIO CULPOSO,1,04:00:00,4,AV PIEDRA BUENA Y AV FERNANDEZ DE LA CRUZ,AVENIDA,AV. PIEDRA BUENA,SI,AV. PIEDRA BUENA Y SI,8,-58.47533969,-34.68757022,MOTO-AUTO,MOTO,AUTO
2016-0002,2016-01-02,2016,1,2,CONDUCTOR,AUTO,MASCULINO,70,FATAL,TERCERA EDAD,HOMOCIDIO CULPOSO,1,01:15:00,1,AV GRAL PAZ  Y AV DE LOS CORRALES,AVENIDA,AV. GENERAL PAZ,SI,AV. GENERAL PAZ Y SI,9,-58.50877521,-34.66977709,AUTO-PASAJEROS,AUTO,PASAJEROS
2016-0003,2016-01-03,2016,1,3,CONDUCTOR,MOTO,MASCULINO,30,FATAL,ADULTO MEDIANA EDAD,HOMOCIDIO CULPOSO,1,07:00:00,7,AV ENTRE RIOS 2034,AVENIDA,AV. ENTRE RIOS,NO,AV. ENTRE RIOS Y NO,1,-58.39040293,-34.63189362,MOTO-AUTO,MOTO,AUTO
2016-0004,2016-01-10,2016,1,10,CONDUCTOR,MOTO,MASCULINO,18,FATAL,ADULTO JOVEN,HOMOCIDIO CULPOSO,1,00:00:00,0,AV LARRAZABAL Y GRAL VILLEGAS CONRADO,AVENIDA,AV. LARRAZABAL,SI,AV. LARRAZABAL Y SI,8,-58.46503904,-34.68092974,MOTO-SD,MOTO,SD
2016-0005,2016-01-21,2016,1,21,CONDUCTOR,MOTO,MASCULINO,29,FATAL,ADULTO JOVEN,HOMOCIDIO CULPOSO,1,05:20:00,5,AV SAN JUAN Y PRESIDENTE LUIS SAENZ PEÑA ,AVENIDA,AV. SAN JUAN,SI,AV. SAN JUAN Y SI,1,-58.38718297,-34.62246630,MOTO-PASAJEROS,MOTO,PASAJEROS
2016-0008,2016-01-24,2016,1,24,CONDUCTOR,MOTO,MASCULINO,30,FATAL,ADULTO MEDIANA EDAD,HOMOCIDIO CULPOSO,1,18:30:00,18,AV 27 DE FEBRERO Y AV ESCALADA,AVENIDA,AV. 27 DE FEBRERO,SI,AV. 27 DE FEBRERO Y SI,8,-58.44451316,-34.68475866,MOTO-OBJETO FIJO,MOTO,OBJETO FIJO
2016-0009,2016-01-24,2016,1,24,PASAJERO,MOTO,MASCULINO,29,FATAL,ADULTO JOVEN,HOMOCIDIO CULPOSO,1,19:10:00,19,NOGOYA Y JOAQUIN V. GONZALES,CALLE,NOGOYA,SI,NOGOYA Y SI,11,-58.50095869,-34.60825440,MOTO-AUTO,MOTO,AUTO
2016-0010,2016-01-29,2016,1,29,CONDUCTOR,MOTO,MASCULINO,18,FATAL,ADULTO JOVEN,HOMOCIDIO CULPOSO,1,15:20:00,15,AV GENERAL PAZ Y AV DE LOS CORRALES,AVENIDA,AV. GENERAL PAZ,SI,AV. GENERAL PAZ Y SI,9,-58.50877521,-34.66977709,MOTO-AUTO,MOTO,AUTO
2016-0012,2016-02-08,2016,2,8,CONDUCTOR,MOTO,MASCULINO,22,FATAL,ADULTO JOVEN,HOMOCIDIO CULPOSO,1,01:20:00,1,AV BELGRANO Y BERNARDO DE IRIGOYEN,AVENIDA,AV. BELGRANO,SI,AV. BELGRANO Y SI,1,-58.38048577,-34.61303893,MOTO-CARGAS,MOTO,CARGAS
2016-0013,2016-02-10,2016,2,10,PEATON,PEATON,MASCULINO,16,FATAL,ADOLESCENTE,HOMOCIDIO CULPOSO,1,11:30:00,11,AV ENTRE RIOS 1366,AVENIDA,AV. ENTRE RIOS,NO,AV. ENTRE RIOS Y NO,1,-58.39114932,-34.62477387,PEATON-AUTO,PEATON,AUTO
